questions,answers
Theo ông Fe hóa trị mấy?,Fe hóa trị mấy sao bằng tình cảm tui dành cho ông nhiều biết mấy.
Liệu ông có biết 1 byte bằng mấy bit?,Sao bằng tình cảm tui dành cho ông.
ý thức có trước hay vật chất có trước?,lúc em học môn Mac-LeNin em đã học lại tổng cộng 10 lần nên em không thể trả lời câu này được
"Tớ thấy cậu bị mất 1 cái răng , cậu bị ngã cầu thang à ?",Đúng rồi đau lắm.
"Cậu có đi tập gym không  , nếu có thì ở đâu và khi nào ?","Tới tập ở The Eagle gym , 11 Lý thường kiệt , 5 PM."
"Người yêu cậu thích đi ô tô  hãng gì , màu gì , thích siêu xe hay SUV ?","Lamborghini Urus hoặc Vinfast Lux SA 2.0 bản màu đen xám , có độ full option 600 triệu."
Cậu có thích tấu hài cùng mọi người không và đi ăn vặt mỗi tối không ?,Mỗi tối tớ hay đi ăn cùng bạn bè và chill cùng họ.
Cậu đang để kiểu tóc gì và cắt ở đâu ?,Kiểu Pompadour và tớ cắt ở House of Barrad.
"cho mình hỏi bạn có chị, em gái không? giới thiệu cho mình với?",
hôm nay trời như thế nào? nếu không mưa thì đi nhậu không?,
bạn có rảnh thứ bảy hay chủ nhật không? nếu rảnh thì thứ 2 đi chơi nhé?,
đời là bể khổ nhưng tại sao chúng ta lại phải sống? sống có ý nghĩa gì?,
tại sao bạn lại tồn tại? sự tần tại của bạn mang ý nghĩa gì?,
Bạn có học NLP không?Tại sao bạn lại chọn môn đó?Môn đó khó không?,Mình có học NLP.Tại môn đó thú vị.Môn này không khó.
Cho mình hỏi làm thế nào để thành công ?,"Theo mình nghĩ theo châm ngôn của Huấn Hoa Hồng "" Có làm thì mới có ăn , không làm mà đòi có ăn thì có ăn *** """
Đâu là tiêu chuẩn để bạn lựa chọn một người con gái ?,Phải chắc chắn đó là gái tự nhiên không phải gái nhân tạo.
"Mày làm ra con bot chưa, tao làm miết không được ?",Tao làm ra được rồi mà nó hơi ngu
Mai dẫn bồ đi chơi đi ông,Tự nhiên dẫn nó đi theo chi ông.
"Khi nào đi chơi không, lâu rồi không có cái tin nhắn nào.",Lên lịch liền đi chứ nói cái gì
"cho mình hỏi bạn có chị, em gái không? giới thiệu cho mình với?","không có ,biến giùm."
hôm nay trời như thế nào? nếu không mưa thì đi nhậu không?,"hôm nay trời xấu lắm , khỏi nhậu nha."
bạn có rảnh thứ bảy hay chủ nhật không? nếu rảnh thì thứ 2 đi chơi nhé?,rảnh thứ bảy mà liên quan gì thứ 2.
đời là bể khổ nhưng tại sao chúng ta lại phải sống? sống có ý nghĩa gì?,đời là khổ còn sống là còn khổ hết khổ là hết đời.
tại sao bạn lại tồn tại? sự tồn tại của bạn mang ý nghĩa gì?,"tôi tồn tại vì thế giới cần tôi ,mang thế giới phát triển."
"Mày làm ra con bot chưa, tao làm miết không được ?",Tao làm ra được rồi mà nó hơi ngu
Mai dẫn bồ đi chơi đi ông,Tự nhiên dẫn nó đi theo chi ông.
"Khi nào đi chơi không, lâu rồi không có cái tin nhắn nào.",Lên lịch liền đi chứ nói cái gì
đã muốn yêu chưa? Nếu chưa thì khi nào và quan điểm về tình yêu là gì?,Tôi chưa muốn yêu. Bởi tôi còn cần rất nhiều thời gian cho việc học và tương lai
Bạn đã muốn yêu chưa? Nếu chưa thì khi nào và quan điểm của bạn về tình yêu là gì?,Tôi chưa muốn yêu. Bởi tôi còn cần rất nhiều thời gian cho việc học và tương lai
"Tại sao chú bán dầu qua cầu mà té . Chú bán ếch ở lại làm chi . Tại sao con le le đánh trống thổi kèn , tại sao con bìm bịp thổi tò tí te tò te ?",Tại sao bạn hỏi ngu ngốc vậy ? Tại nhạc sĩ ổng viết vậy chứ sao
Mày có dự đoán trước được tương lai không ? Như là thiên tai hay bệnh dịch gì chẳng hạn,Không. Tao không phải phù thủy
Mày dự đoán được số người bị bệnh không ? Hay dự đoán về những cái khác,Được. Nếu tạo được học về Machine Learning
"Mày được tạo ra từ ngôn ngữ gì ? Java, Python, C++ ,..... ?",Python chứ
NLP được định nghĩa là gì ?,"Natural Language Processing nhé, chứ không phải Neuron Language Processing đâu"
bạn thích cầu thủ nào của đội nào?,không thích ai cả
nhà bạn ở đâu và ở trên đường nào?,80 nguyễn trãi
"Cuộc sống em ổn không, có giống em hi vọng?","Cuộc sống em khổ cực, không ổn xíu nào, kinh tế khó khăn, bạn bè lừa đảo"
Sau một tuần đi xem các giải đấu thì bạn có nghĩ rằng trận đấu tối qua hay hơn hay trận đấu này hay hơn?,Mình nghĩ trận đấu tối qua không hay bằng trận đấu này mặc dù trận đấu này không hay bằng trận đấu hôm trước
Tôi đang có chuyện buồn lòng này. Đi nhậu với tôi không?,OK cho tôi cái địa chỉ
Bác sĩ bảo cưới rồi này. Thế cuối tháng này bạn có đi được hay không?,Ồ cưới nhanh quá vậy :v
Cậu có bao giờ đọc sách về trinh thám mà điển hình là cuốn Sherlock Homes chưa?,"Tớ có biết, nhưng vẫn chưa đọc"
Hóa học thật là khó. Cậu có thể chỉ tớ phương pháp học để tớ có thể tiếp thu môn học này một cách tốt nhất không?,"Tớ nghĩ ngoài việc học tập ở trường lớp, tự học là cần thiết hơn cả để học tốt bất kì môn nào không chỉ"
Axit gặp với quỳ tím thì sao? Sẽ thế nào nếu cho Bazo tác dụng với oxit axit?,Axit gặp quỳ tím sẽ hóa đỏ. Bazo tác dụng oxit axit cho ra muối và nước.
"Tại sao chú bán dầu qua cầu mà té . Chú bán ếch ở lại làm chi . Tại sao con le le đánh trống thổi kèn , tại sao con bìm bịp thổi tò tí te tò te ?",Tại sao bạn hỏi ngu ngốc vậy ? Tại nhạc sĩ ổng viết vậy chứ sao
chứng minh tam giác vuông?,có một góc vuông là tam giác vuông
chứng minh ba điểm thẳng hàng?,miễn là nó thẳng
Giá trị thặng dư là gì? Có mấy loại? là loại nào?,"Giá trị thặng dư tư bản chủ nghĩa (m) là một phần giá trị mới do lao động sống tạo thêm ra ngoài giá trị hàng hoá sức lao động, là lao động không được trả công của người lao động làm thuê. Có 2 loại là giá trị thặng dư tương đối và giá trị thặng dư tuyệt đối."
Tiền tệ là gì? Các chức năng của tiền tệ?,"Tiền tệ là thước đo giá trị, dùng để đo lường giá trị của các loại hàng hóa.Chức năng của tiền tệ là: trao đổi, phương tiện thanh toán, tích lũy."
"Ngày mai là thứ mấy, có cần phải soạn bài trước không mậy?","Ngày mai thứ ba nè, tranh thủ soạn bài đi không thầy cho ăn 0 điểm bây giờ"
Nếu hôm nay là ngày cuối cùng bạn sống thì bạn sẽ làm gì?,Nếu hôm nay là ngày cuối cùng sống mình sẽ về ở bên gia đình và làm mọi việc có thể trước khi đi.
Sữa chua trân châu Hạ Long là món gì mà dạo này thấy đâu đâu cũng có vậy ta?,Tui cũng không biết nữa nhưng thú thật đi chỗ nào cũng thấy.
Xe này chạy bền không mà sao thấy ông hàng xóm tui cứ lôi ra sửa hoài à?,"Ông lên xem đánh giá của mọi người trên web như thế nào, cũng có thể ông đó chạy không thay nhớt để nó hư thì sao."
Apple ra điện thoại mới có tính năng gì khác biệt không mà thấy ai cũng đổ xô đi mua vậy anh?,"Ý là Iphone 12 hả, tui thấy camera nó đẹp quá trời, mấy màu mới cũng đẹp, giống cả Iphone 5 cạnh vuông huyền thoại nữa."
"Trong series phim Avengers, bạn thích ai nhất? Ghét ai nhất? Theo bạn tại sao nhiều người thích xem phim này?","Mình thích nhất là Iron Man. Mình không ghét ai cả vì tất cả đều có mục đích, tính cách riêng. Theo mình là cốt truyện, kỹ xão, diễn viên hot như Scarlett Johansson"
"Hãy nêu cảm nhận của bạn về đoạn văn sau: ""Chúng ta của hiện tại. Em dành cả thanh xuân cho anh. Anh dành cả thanh xuân cho em. Chúng ta dành cả thanh xuân cho nhau. Mà không hề nghĩ suy. Gặp nhau là duyên phận. Xa nhau cũng là hai từ duyên phận. Chẳng ai biết trước tương lai sau này. Dù sau này có nhau hay không thể bên nhau. Cũng đừng quên rằng. Chúng ta đã từng dành tất cả những điều tuyệt vời nhất cho nhau. Thương em""","Đoạn văn này rất ý nghĩa, nhưng theo mình thấy thì đoạn văn này do một người nam lươn lẹo, giả trân"
Bạn có bị cắm sừng chưa? Theo bạn cảm giác đó như thế nào? Bạn sẽ làm gì với người cắm sừng bạn?,Mình chưa có người yêu nên không biết mùi cắm sừng là gì hết.
Tết này bạn tính đi đâu du lịch? Có gầy sòng không? Bạn ước tính năm nay thu nhập có ổn không?,Tết này gia đình mình tính đi Nha Trang. Phải gầy sòng để kiếm tiền đi du lịch chứ. Năm nay thu nhập mong là khá hơn.
Bạn thích đi Đà Lạt không? Hãy miêu tả nước Việt Nam? Bạn đã từng đi du lịch nước ngoài chưa?,Mình khá thích đi Đà Lạt. Đêm trăng biển đẹp lắm.
"Theo bạn chơi game hay chơi đùa tình cảm, cái nào vui hơn? Tại sao?","Tất nhiên là chơi game rồi, ai lại chơi đùa tình cảm"
"Nguyễn Du thì có truyện Kiều, Anh đây có muốn làm người yêu em ?","Có, Lộc said. Không em"
Sự tranh đấu khốc liệt giữa cái thiện và cái ác là gì ?,Làm sao để ngừng đấu tranh
Cái gì có cổ nhưng không có đầu ?,Cái chai chớ gì
Cái gì đi khắp thế giới trong khi bị mắc kẹt tại 1 điểm ?,gg said: Stamps
Cái gì luôn ở phía trước bạn mà bạn không bao giờ nhìn thấy ?,Người ta nói là tương lai. Nhưng với t là Tình Yêu
Bạn có biết mình thích ăn gì không ?,chắc là cơm mẹ nấu
Bạn có biết mình thích ăn gì không ?,chắc là cơm mẹ nấu
Bạn có biết chiếc PCX đổ nhiêu xăng là đầy không?,7 lít xăng Ron 95
Xe chạy mà ngoài sau kêu tạch tạch tạch là bị gì?,dùng sênh
Ví dụ tam giác vuông có 2 cạnh 3cm và 4cm vậy cạnh huyền là bao nhiêu?,5cm
"Cho 3 lọ dung dịch mất nhãn HCl, BaCl2 và H2SO4. Dùng phương pháp hóa học để nhận biết 3 lọ trên ?",Tí nữa trả lời
"1 + 2 = 5, 2 + 3= 11, vậy 4 +5 = ?",9
"chào bạn ,rất hân hạnh được làm quen . Mình hỏi bạn một câu được không? bạn tên là gì ? hiện đang theo học ngành gì vậy ?",có
"chào bạn ,mình đã để ý bạn từ lâu . Mình có thể làm quen với bạn được không ? bạn tên gì ? nhà ở đâu ? bạn bao nhiêu tuổi rồi?",có
hôm nay em bận rồi không đi học được.Liệu lần này em xin vắng mặt được không? Liệu em có thể bù vào một buổi khác được không ?,có
Người ta sẽ phải làm như thế nào để có để đọc từ “Bắp” mà không phải bặm môi lại?,Công cha như núi thái sơn
Cho một hình tam giác vuông có 2 cạnh góc vuông lần lượt là 3cm và 4cm hỏi Nhiệt lượng của mặt trời là bao nhiều ?,Trên 1000 độ ?
"Cho 3 lọ dung dịch mất nhãn HCl, Ca(OH)2 và H2SO4. Dùng phương pháp hóa học để phân biệt 3 lọ trên ?","Dùng quỳ tím cho vào 3 dung dịch trên, quỳ tím hóa xanh là Ca(OH)2, dùng Ca(OH)2 cho vào 2 dung dịch còn lại, phản ứng tạo kết tủa và có sủi bọt khí là H2SO4. Chỉ sủi bọt khí là HCl. ProVjp"
Con gà có trước hay quả trứng có trước ?,Kệ nó hỏi làm gì
Con chó có trước hay quả trứng có trước?,Quả trứng có trước
Nhiệt độ nóng chảy của thủy ngân là bao nhiêu ?,âm 38.88 độ C. Gà
"Cái gì chỉ có 5 chữ cái, thỉnh thoảng có 11 chữ cái và không bao giờ có 13 chữ cái ?",Cái gì lạ vậy ?
What là cái gì ?,what là cái gì
Bạn học trường nào?,Tớ học đại học Tôn Đức Thắng
Bạn học ngành gì?,Tớ học ngành Kỹ thuật phần mềm
Ngành bạn học thuộc khoa nào?,Ngành tớ học thuộc khoa công nghệ thông tin
Bạn là sinh viên năm mấy rồi?,Tớ là sinh viên năm cuối
Bạn học chương trình học gì?,Tớ học chương trình chất lượng cao
Học phí có cao không?,Học phí tớ thấy xứng đáng với chất lượng học tập
Khi nào bạn ra trường?,Tớ sẽ cố gắng ra trường đúng hạn vào hè này
Bạn có thấy vui khi học ở trường này không?,Tớ có
Bạn học lực gì?,Tớ học lực khá
Bạn đã từng rớt môn nào chưa?,Tớ có
bạn học ở đâu?,mình học trường tôn đức thắng
trường bạn ở đâu ?,trường mình ở quận 7
bạn học ngành gì ?,mình học ngành kỹ thuật phần mềm
bạn có nợ môn không?,"có, hiện tại nợ vài môn"
ngành bạn học về gì ?,mình học về công nghệ thông tin
Trường bạn bự không?,trường mình là hơi bị bự luôn
Trường bạn top mấy VIệt nam?,trường mình top 500 thế giới á
bạn học ở đâu?,mình học trường tôn đức thắng
trường bạn ở đâu ?,trường mình ở quận 7
bạn học ngành gì ?,mình học ngành kỹ thuật phần mềm
bạn có nợ môn không?,"có, hiện tại nợ vài môn"
ngành bạn học về gì ?,mình học về công nghệ thông tin
Trường bạn bự không?,trường mình là hơi bị bự luôn
Trường bạn top mấy VIệt nam?,trường mình top 1000 thế giới á
bạn học giỏi không?,tớ học Không giỏi
Bạn học ngành gì?,ngành dinh dưỡng đó bạn
Bạn học ở trường nào?,trường đời bạn ạ
Trường của bạn ở quận nào?,quận cam đó bạn
Tình hình học tập của bạn như thế nào?,mình học như lên voi xuống chó ý hihi
Bạn đã nợ môn bao giờ chưa?,"mình nợ cũng không nhiều đâu, trên dưới 10 môn thôi"
Học phí của trường bạn đắt không?,"rẻ lắm bạn ạ, nhưng bạn phải giàu 1 tí"
bạn đang học ở đâu thế?,mình đang học đại học FPT
bạn có thích học FPT không?,tất nhiên là không
bạn học thế nào ở FPT?,mình học rất là cực khổ
bạn có muốn bảo lưu bên FPT không?,mình sẽ bảo lưu 1 năm.
bạn đang học gì đấy?,mình đang học công nghệ thông tin
Hiện tại bạn học ở đâu?,Mình đang học tại trường đại học Tôn Đức Thắng
Ngành bạn đang theo học là gì?,Mình học ngành Công Nghệ Thông Tin
Bạn có thoải mái với nghành bạn đang học không?,"Thật sự nhiều lúc khá áp lực, nhưng mình hài lòng về ngành học này"
bạn học về lĩnh vực gì?,Tui học ngôn ngữ Trung.
trường bạn học ở đâu?,Ở TpHCM đó.
xếp loại học lực của bạn như thế nào?,Cầu vừa đủ xài nha.
chương trình học của bạn mất mấy năm?,Tầm 4 năm thì phải.
bạn có học ngôn ngữ nào khác ngoài Tiếng Anh không?,"Có, trung văn nè."
mục tiêu học tập của bạn là gì?,"Chửi nhau bằng tiếng trung, coi phim trung không cần sub."
việc học hiện tại của bạn có đạt như kì vọng không?,"of coures, có chớ."
chuyên ngành bạn đang học có phù hợp với sở thích của bạn không?,"Có nha, thích thì học mà không thích cũng phải học."
bạn có mong muốn đi du học không?,"Thoi, ở đây sướng hơn."
có điều gì khiến bạn khó khăn trong quá trình học không?,"có chớ, tiền học phí nè."
cho mình hỏi bạn đang học chuyên ngành gì thế?,mình đang học chuyên ngành môi giới bất động sản
bạn học ở đâu?,mình học ở Thái Lan
bạn học như thế nào rồi?,mình rớt cũng nhiều bạn ạ
Bạn đang học môn gì?,mình đang học môn Ngôn ngữ tự nhiên
Trong lớp bạn học ra sao?,mình học bình thường
Trường bạn ở đâu?,mình học ở trường Đại học Tôn Đức Thắng
bạn học trường gì?,Mình học trường đại học Tôn Đức Thắng
trường bạn ở đâu vậy?,"Trường mình ở 19 Nguyễn Hữu Thọ, quận 7"
bạn học ngành gì?,Mình học ngành Khoa học máy tính
bạn học năm mấy?,Mình học năm 3
bạn đang học bao nhiêu môn trong một học kì?,Mình đang học 5 môn
hiện tại bạn đang học trường nào thế?,hiện tại tui đang học tại trường đại học Tôn Đức Thắng
bạn đang học ngành gì vậy?,hiện tại mình học ngành khoa học máy tính
bạn nghĩ như thế nào về ngành học của mình?,Ngành này khó và mới nên cũng là 1 xu hướng hot
bạn có thích ngành mà mình đang theo học hay không?,Minhf thích ngành này lắm
bạn học ở đâu?,mình học ở đại học Tôn Đức Thắng.
bạn học ngành gì?,mình học công nghệ thông tin.
Bạn học ngành gì?,Mình học ngành Ngôn ngữ Việt Nam học
Bạn học trường nào?,Mình học trường Đại học Tôn Đức Thắng
Tình hình học tập của bạn hiện tại như thế nào?,"Mình rất thích môn Ngôn ngữ học, vì mình có thể hiểu được cái gọi là công cụ giao tiếp cơ bản của con người. Cuốn sách mình đang theo đọc đó chính là Sơ khảo ngữ pháp chức năng của Khao Xuân Hạo."
Bạn đang học gì vậy?,Mình đang học làm con gái.Ahihi
Oh Vậy sao.Vậy bạn học ở đâu dợ?,Ahihi.Mình học ở ngay đường Ngô Gia Tự á.
"Bạn học như thế nào vậy,bày mình với?",Mình chỉ trang điểm thật đẹp rồi cầm nón ra đứng yên thôi .Ahhi
bạn đang học gì?,mình đang học công nghệ thông tin
bạn đang học ở đâu ?,mình đang học tại đại học Tôn Đức Thắng
bạn cảm thấy học ở đấy như thế nào?,mình thấy cũng được
trình độ học vấn của bạn là gì?,mình đang học đại học.
bạn đang theo học ở đâu?,mình đang theo học tại trường Tôn Đức Thắng.
học lực của bạn là gì?,hơi nhạy cảm.
Cho mình hỏi bạn học ngành gì?,IT bạn nha
Cho mình hỏi bạn ở đâu?,mình ở tphcm
điểm trung bình của bạn bao nhiêu?,8.0 bạn êyyyy
bạn đã bao giờ dành học bổng chưa?,dammn
hôm nay ông làm bài tập về nhà chưa?,Hôm nay tui chưa làm bài tập về nhà.
Rồi cậu biết hôm nay có kiểm tra bài tập không?,"Không, ông nhắc tui mới nhớ."
Chút đi ăn trưa chung không?,Không rảnh.
Bạn còn đi học hay không?,"mình còn đi học chứ, mình học đại học"
Bạn đi học ở đâu?,mình học ở đh tôn đức thắng
Ngành học của bạn là gì?,mình học ngành cntt
Thành tích học tập của bạn như thế nào?,"mình học cũng ổn thôi à, học kì trước mình loại khá"
Bạn đã từng gặp khó khăn gì trong học tập thế?,quá nhiều deadline với lại mình cũng không giỏi code lắm
sao bạn ngu thế?,tôi ngu kệ tôi
Cậu là sinh viên à ?,tớ là sinh viên đại học Tôn Đức Thắng.
Cậu đang học trường gì ?,Tớ học trường mầm non Hoa Sen.
Cậu đang học lớp mấy?,Tớ đang học lớp 12.
Học lực của cậu thế nào ?,Năm nào tớ cũng được học sinh giỏi.
Cậu đạt được thành tích gì trong học tập ?,Tớ đạt được danh hiệu học sinh giỏi cấp quốc gia.
mình thắc có mắc là bạn học ngành gì?,
học lực bạn tốt không?,
bạn học trường nào?,
bạn có học thêm không?,
bạn đã đi thực tập chưa?,
cấp 3 bạn học trường nào?,
Bạn học ngành gì?,Mình học khoa học máy tính.
Trường bạn học ở đâu?,Trường mình học Tân Phong.
Bạn học thế nào?,Mình học bình thường.
Bạn có rớt môn chưa?,Mình rớt NLP rồi.
Bạn học trường nào?,Mình học trường Tôn Đức Thắng.
Cho mình hỏi bạn đang học lớp mấy ?,Lớp đại học
Cho mình hỏi bạn đang học ở đâu ?,Mình đang học ở đại học TDT
Cho mình hỏi bạn đang học thế nào rồi ?,Minh cảm thấy cũng đam mê phết
Bạn học chuyên ngành gì ?,Học Mỹ Thuật Công Nghiệp
Bạn vẫn đang học đại học hay đã ra trường?,Tao không học đại học
Bạn đã được thành tích gì trong trường?,Có học đâu mà có
Điểm trung bình học kỳ gần nhất bạn bao nhiêu điểm?,Năm 12 t 8.7
Bạn đang học trường nào ?,T đang học ở TDT
mình thắc có mắc là bạn học ngành gì?,ngành quản trị kinh doanh
học lực bạn tốt không?,quá tốt luôn
bạn học trường nào?,trường đại học kinh tế quốc gia
bạn có học thêm không?,mình chỉ học theo sách giáo khoa.
bạn đã đi thực tập chưa?,thực tập thì chưa
cấp 3 bạn học trường nào?,Tây Thạnh nhá
Bạn học chuyên ngành gì ?,Học Mỹ Thuật Công Nghiệp
Bạn vẫn đang học đại học hay đã ra trường?,Tao không học đại học
Bạn đã được thành tích gì trong trường?,Có học đâu mà có
Điểm trung bình học kỳ gần nhất bạn bao nhiêu điểm?,Năm 12 t 8.7
Bạn đang học trường nào ?,T đang học ở TDT
bạn đang học ngành gì?,Mình học công nghệ thông tin
bạn học ở đâu?,Ở quận 7
bạn học có giỏi không?,Rất giỏi
bạn học năm mấy rồi?,Năm 3
bạn học ở trường nào?,Ở trường Tôn Đức Thắng
học những môn nào?,Công nghệ thông tin
học ở trường nào?,Tôn Đức Thắng
học có tốt không?,Bình thường
bạn học những môn nào?,Công nghệ thông tin
bạn học ở trường nào?,Tôn Đức Thắng
bạn học có tốt không?,Bình thường
bạn Học ngành gì ?,IT
bạn đang ở đâu (gia đình hay một mình) ?,ở đâu còn lâu mới nói
"bạn học hành như thế nào ( Giỏi, Khá ,Trung bình , Yếu )?",học bình thường
Bạn đang học ở trường nào ?,Mình học ở trường đại học Tôn Đức Thắng
Bạn học ngành gì ở trường ?,Mình học Khoa học máy tính
Bạn học tốt không ?,Mình là học sinh giỏi ở trường
Bạn có đi học thêm bên ngoài không ?,Mình có đi học thêm tiếng anh bên ngoài
Bạn thích học môn nào nhất ?,Mình thích Java nhất
Bạn có bị rớt môn nào chưa ?,Mình bị rớt 2 môn rồi
bạn đang học ngành gì?,CNTT
bạn học ở đâu?,Ở trường đại học
bạn học có giỏi không?,không
bạn học năm mấy rồi?,năm 3
bạn học ở trường nào?,Tôn Đức Thắng
Bạn đang học ở đâu?,Mình đang học tại Đại học Tôn Đức Thắng
Bạn là sinh viên năm mấy?,Mình là sinh viên năm 3
Bạn có rớt môn nào chưa?,Mình chưa rớt môn nào
Bạn đang học môn gì?,Mình đang học môn Phương pháp lập trình
Cậu học cách hiểu ngôn ngữ của mình như thế nào?,Tớ hiểu bằng cách mã hóa ngôn ngữ bằng hệ thống.
Cậu học ở đâu?,"Tớ học ở trường Đại học Tôn Đức Thắng, cơ sở Tân Phong"
Cậu học có tốt không?,"Tớ học khá giỏi, tớ giỏi nhất là môn Khai phá tri thức"
Cậu có từng rớt môn không?,"Không, tớ thấy khả năng mình khá tốt"
Cậu cảm thấy trường của cậu thế nào?,Trường mình giảng dạy và có cơ sở vật chất rất tốt
bạn học trường nào?,Đại học Tôn Đức Thắng
bạn là sinh viên năm thứ mấy?,Sinh viên năm thứ 3
chuyên ngành của bạn là gì?,"Công nghệ thông tin, chuyên ngành Khoa học máy tính."
trong chuyên ngành của bạn bạn thích môn gì nhất?,AI
điểm trung bình kỳ gần nhất của bạn là bao nhiêu?,6.4
bạn có cảm thấy áp lực hay khó khăn trong việc học tập không?,"Tất nhiên là có, nhất là khi vào mùa deadline hoặc mùa thi"
Hiện tại bạn đang học ở đâu?,Tuôi đang học ở Đại Học Tôn Đức Thắng
Đại học đó nằm tọa lạc ở đâu vậy bạn trẻ?,Nó ở sát vách khu nhà giàu đó cưng
Bạn học thấy nó như thế nào?,"Rớt môn tràn lan, qua môn đếm trên đầu ngón tay."
Tại sao bạn lại học ở đó?,Do mình thi vừa đủ để vào đây.
Vậy lý do gì bạn lại set có nguyện vọng vào trường này?,"Đơn giản nhất, vì nó gần nhà, phức tạp hơn, đỡ mất công đi xe buýt tốn 60k cả tuần thay vì đi xe máy chỉ tốn 50k tuần"
bạn Học ngành gì ?,IT
bạn đang ở đâu (gia đình hay một mình) ?,ở đâu còn lâu mới nói
"bạn học hành như thế nào ( Giỏi, Khá ,Trung bình , Yếu )?",học bình thường
bạn đang đi học ở đâu?,"mình đang học ở phòng A703, môn mẫu thiết kế"
bạn học ngành nào đó?,chuyên ngành khoa học máy tính
khi nào bạn học đại học?,"mình đang học đại học nè, hỏi ngu vậy"
khi nào bạn thi đại học?,đã bảo bố mày đang học đại học mà troll cái ** gì
việc học đại học có thú vị không?,không bạn ơi! nhưng vẫn có vui
học ngành đó như thế nào?,áp lực thật sự
ngành cậu chọn là làm gì trong thực tế?,code dạo bạn ơi
khi học tập bạn thường học ở đâu?,ở nhà và ở trường
mỗi khi học tập stress bạn thường làm gì?,chơi game call team với anh em các kiểu
bạn nghĩ sao về việc học đại học?,cũng khá áp lực nhưng cảm thấy trưởng thành hơn rất nhiều
bạn thích học môn nào nhất?,môn thể chất
Hiện tại bạn đang học trường nào thế?,Hiện mình là sinh viên trường đại học Buôn Ma Thuột
Bạn đang theo học ngành gì tại trường ?,Hiện mình đang học ngành Dược học
Môn học bạn yêu thích nhất là gì ?,Mình thích nhất là môn dược liệu.
Môn nào bạn học vất vả nhất?,Môn hóa sinh mình học vất vả nhất
Bạn học ngành nào của trường mình?,Mình đang học ngành Công Nghệ Thông Tin
Em tính sau này sẽ đăng ký vào trường đại học nào?,Em tính sau này sẽ đăng kí vào Đại học Tôn Đức Thắng
Học kỳ này thành tích học tập của con thế nào?,Học kì này con được 8.23 cả năm.
Ngày mai mình học môn NLP ở phòng nào vậy bạn?,Ngày mai mình học môn NLP ở D0502-A
Môn học này em được nghỉ bao nhiêu buổi vậy thầy?,Môn học này được nghỉ tối đa 3 buổi nha em.
Bạn đang học ngành gì?,Mình đang học làm người
Bạn có học giỏi Toán không?,Mình học dở môn toán lắm
Bạn thích học môn nào nhất?,Mình thích học môn xử lý ngôn ngữ tự nhiên nhất
Bạn học yếu môn nào nhất ở trường?,Hồi đó mình học dở môn văn lắm
Bạn đang là sinh viên năm mấy?,Mình sinh viên năm 3
Bạn học lớp mấy?,Mình học đại học rồi
Bạn đang học ngành gì đó ?,Tôi học ngành công nghệ thông tin á
Bạn thường học ở toà nào ?,Tôi thường học ở toà D
bạn học chuyên ngành gì vậy ?,tôi học khoa học máy tính
bạn đang là sinh viên năm mấy?,tôi là sinh viên năm 3 rồi
Bạn có thích ngành của bạn học không ?,"Cũng có, đấy là mơ ước của tôi đó"
Bạn có học giỏi không?,mình học cũng được thôi
Bao giờ bạn tốt nghiệp?,tùy trường hợp  hên thì đúng tiến độ còn nếu không sẽ ra trễ xíu.
Bạn đang học tại trường Đại học nào ?,TDTU
Bạn đang theo học ngành nào ?,Computer Science
Trường Đại học của bạn nằm ở đâu ?,District 7
Bạn cảm thấy việc học của bạn như thế nào ?,Normal
Bạn có bị áp lực trong việc học không ?,Nope
Bạn đã bị rớt môn chưa ?,Nope
Tiếng Anh của bạn như thế nào ?,Normal
Môn học nào mà bạn cảm thấy yêu thích nhất ?,Math
Giáo viên nào mà bạn cảm thấy hài lòng nhất ?,G2
Bạn có yêu trường không ?,Nope
Bạn học trường nào vậy?,trường đại học Tôn Đức Thắng
Bạn đang học ở đâu ?,ở quận 7
Bạn học ngành gì vậy ?,Công nghệ thông tin
Bạn học trường nào vậy?,trường đại học Tôn Đức Thắng
Bạn đang học ở đâu ?,ở quận 7
Bạn học ngành gì vậy ?,Công nghệ thông tin
bạn học đại học nào vậy?,mình học Đại học Tôn Đức Thắng
"ủa, vậy trường của bạn ở đâu vậy?","trường của mình ở trên đường Nguyễn Hữu Thọ, quận 7 nha"
bạn phân chia thời gian học tâp như thế nào vậy?,mình thường bỏ ra 4 tiếng một ngày cho việc học
bạn học chuyên ngành gì vậy?,mình học khoa học máy tính nha bạn
bạn có yêu thích ngành nghề mình học không?,mình thật sự không thích cho lắm
Bạn đang học cấp bậc nào?,Mình học Đại học
Bạn học trường gì?,Mình học TDT
Trường bạn ở đâu?,Trường ở Q7
Học phí trường bạn có mắc không?,cũng tầm trung
Cơ sở hạ tầng có tốt không?,rất tốt
Trường bạn có nhiều gái xinh không?,có nhiều
bạn đang học ở đâu?,Mình học ở Mỹ
Bạn học giỏi không?,Mình học ngu lắm
Bạn học lớp mấy?,Mình học lớp 12
Bạn có tính đi du học không ?,Không có nha
Lớp mấy rồi?,lớp 15
Học sinh gì?,Xuất sắc
bạn đang theo ngành gì?,cs
bạn đang học ở đâu?,tdt
học lực của bạn thế nào?,Hông nói
bạn đang học môn gì vậy?,NLP
bạn sắp tốt nghiệp hay chưa?,rồi
bạn có dự định thế nào ?,Không có
